account_id,company_name,industry,region,plan,arr_eur,seats_purchased,active_users_30d,weekly_logins_30d,onboarding_completion_pct,feature_adoption_pct,support_tickets_90d,unresolved_tickets,csat,nps,days_since_csm_contact,account_age_months,days_to_renewal,expanded_before,churned
FD-1456,Customer 456,Technology,DACH,Starter,4900,5,5,14,27,98,3,2,4.2,65,45,31,237,No,No
FD-1457,Customer 457,E-commerce,Southern Europe,Enterprise,77600,119,76,246,71,52,4,0,3.5,22,66,27,315,Yes,No
FD-1458,Customer 458,Travel,CEE,Growth,10700,22,15,51,100,54,4,0,4.5,51,6,24,30,No,Yes
FD-1459,Customer 459,Healthcare,Southern Europe,Business,26200,82,52,165,76,82,3,1,5.0,72,16,25,228,Yes,No
FD-1460,Customer 460,Technology,UK & Ireland,Business,26900,54,10,34,56,17,2,0,4.9,63,30,35,46,No,Yes
FD-1461,Customer 461,Travel,UK & Ireland,Growth,10800,29,6,10,62,27,5,1,3.2,0,58,54,349,No,Yes
FD-1462,Customer 462,E-commerce,Southern Europe,Starter,3800,9,6,16,100,62,3,0,4.0,42,12,59,233,No,No
FD-1463,Customer 463,Healthcare,Nordics,Enterprise,50500,114,82,236,47,100,8,1,4.2,70,23,53,279,Yes,No
FD-1464,Customer 464,Technology,CEE,Growth,8000,20,10,10,100,58,3,0,4.2,25,29,9,211,No,No
FD-1465,Customer 465,E-commerce,UK & Ireland,Growth,13600,27,16,60,81,70,4,2,3.2,15,16,20,143,Yes,No
FD-1466,Customer 466,Media,Nordics,Business,26100,69,69,204,61,93,5,2,4.1,15,29,46,252,Yes,No
FD-1467,Customer 467,E-commerce,DACH,Business,34000,57,57,81,72,100,4,2,4.0,64,26,34,306,Yes,No
FD-1468,Customer 468,Professional Services,Southern Europe,Enterprise,51900,119,65,235,64,55,5,0,5.0,66,19,22,69,Yes,No
FD-1469,Customer 469,Technology,Southern Europe,Starter,4100,10,5,16,98,68,3,0,4.1,27,48,21,319,Yes,No
FD-1470,Customer 470,Travel,DACH,Growth,8600,17,15,51,95,100,2,0,4.9,68,43,9,267,No,No
FD-1471,Customer 471,Media,UK & Ireland,Growth,8900,32,9,20,51,35,4,1,3.3,-1,50,22,35,Yes,No
FD-1472,Customer 472,Technology,UK & Ireland,Growth,7400,18,18,67,75,91,4,0,3.6,10,53,27,342,Yes,No
FD-1473,Customer 473,Travel,Nordics,Starter,3000,5,3,7,66,46,2,1,4.4,21,77,27,70,No,No
FD-1474,Customer 474,Media,DACH,Starter,5000,8,6,17,100,70,4,2,4.7,37,8,34,221,Yes,Yes
FD-1475,Customer 475,E-commerce,DACH,Growth,9400,24,12,12,58,63,5,1,3.5,60,9,18,51,No,No
FD-1476,Customer 476,Healthcare,UK & Ireland,Growth,11300,24,5,15,100,47,1,0,4.3,34,46,14,75,Yes,Yes
FD-1477,Customer 477,Professional Services,UK & Ireland,Growth,10300,22,6,20,81,46,6,0,3.4,38,21,54,237,No,Yes
FD-1478,Customer 478,Professional Services,UK & Ireland,Growth,9900,33,29,82,61,74,4,0,4.0,25,19,26,250,No,No
FD-1479,Customer 479,Media,Southern Europe,Business,26900,59,47,122,70,90,4,0,4.6,75,17,17,252,Yes,No
FD-1480,Customer 480,Professional Services,UK & Ireland,Growth,8500,23,12,43,68,65,1,0,3.9,18,51,39,128,No,No
FD-1481,Customer 481,E-commerce,DACH,Growth,13800,22,19,60,59,70,3,0,3.9,41,100,34,301,Yes,No
FD-1482,Customer 482,E-commerce,DACH,Starter,4800,5,5,9,84,81,3,0,3.6,34,52,36,22,Yes,No
FD-1483,Customer 483,Professional Services,DACH,Growth,12200,26,12,49,60,47,4,2,3.6,84,20,15,313,No,Yes
FD-1484,Customer 484,Media,UK & Ireland,Growth,10400,18,14,46,43,84,2,0,5.0,82,49,44,114,No,No
FD-1485,Customer 485,Healthcare,UK & Ireland,Starter,3100,9,7,29,75,86,1,0,4.2,35,8,14,229,No,No
FD-1486,Customer 486,Travel,CEE,Growth,13400,15,15,62,50,100,2,0,3.5,46,25,51,331,Yes,No
FD-1487,Customer 487,Fintech,Benelux,Growth,9500,33,25,99,68,60,3,0,3.9,88,6,27,97,Yes,No
FD-1488,Customer 488,Professional Services,UK & Ireland,Starter,2800,8,5,17,66,58,4,1,3.1,-15,21,26,153,Yes,Yes
FD-1489,Customer 489,Professional Services,DACH,Growth,9500,32,29,86,66,85,5,2,3.4,9,33,25,304,Yes,No
FD-1490,Customer 490,E-commerce,Southern Europe,Growth,12500,23,23,36,100,86,5,1,4.9,60,112,27,317,No,No
FD-1491,Customer 491,Travel,CEE,Business,28500,38,16,44,83,56,3,0,4.1,36,61,41,89,Yes,No
FD-1492,Customer 492,Professional Services,CEE,Business,30600,76,49,169,86,59,6,0,5.0,61,6,31,188,No,No
FD-1493,Customer 493,Healthcare,Benelux,Business,31300,67,48,128,50,80,5,0,4.0,14,7,10,125,No,No
FD-1494,Customer 494,Technology,UK & Ireland,Growth,8600,29,7,26,70,50,4,0,4.1,76,16,35,191,No,Yes
FD-1495,Customer 495,Travel,Southern Europe,Business,33500,56,19,26,86,59,4,0,4.5,24,86,18,141,Yes,No
FD-1496,Customer 496,Healthcare,Southern Europe,Growth,10100,26,14,31,64,70,3,1,2.5,1,6,9,6,No,No
FD-1497,Customer 497,Fintech,Nordics,Growth,11500,31,29,76,98,90,2,0,4.4,76,17,51,338,No,Yes
FD-1498,Customer 498,E-commerce,CEE,Growth,7200,26,14,33,60,55,3,0,4.1,45,17,21,234,No,No
FD-1499,Customer 499,E-commerce,DACH,Growth,13900,21,6,8,77,27,4,0,5.0,46,38,37,171,No,No
FD-1500,Customer 500,Professional Services,Nordics,Growth,9100,27,9,13,71,26,5,0,4.7,31,50,12,43,No,Yes
